"","date","team","conf","opp","opp_conf","location","result","score","wab","quad"
"168",2023-11-06,"Air Force","MWC","Portland St.","BSky","Home","L","62-55",-0.950476091737436,"Quadrant 4"
"169",2023-11-06,"Princeton","Ivy","Rutgers","B10","Neutral","W","68-61",0.348166469648333,"Quadrant 2"
"170",2023-11-06,"Rutgers","B10","Princeton","Ivy","Neutral","L","68-61",-0.63197999587561,"Quadrant 2"
"171",2023-11-06,"Queens","ASun","Marshall","SB","Away","L","89-73",-0.820295772662144,"Quadrant 3"
"172",2023-11-06,"Marshall","SB","Queens","ASun","Home","W","89-73",0.0396613387574846,"Quadrant 4"
"173",2023-11-06,"Radford","BSth","North Carolina","ACC","Away","L","86-70",-0.19636036985523,"Quadrant 1"
"174",2023-11-06,"North Carolina","ACC","Radford","BSth","Home","W","86-70",0.0586348149994546,"Quadrant 4"
"175",2023-11-06,"Robert Morris","Horz","Xavier","BE","Away","L","77-63",-0.372139898269221,"Quadrant 1"
"176",2023-11-06,"Xavier","BE","Robert Morris","Horz","Home","W","77-63",0.0332672955567593,"Quadrant 4"
"177",2023-11-06,"SIU Edwardsville","OVC","Dayton","A10","Away","L","63-47",-0.283526683583598,"Quadrant 1"
"178",2023-11-06,"Dayton","A10","SIU Edwardsville","OVC","Home","W","63-47",0.040128807277486,"Quadrant 4"
"179",2023-11-06,"Saint Peter's","MAAC","Seton Hall","BE","Away","L","70-59",-0.366687683417382,"Quadrant 1"
"180",2023-11-06,"Seton Hall","BE","Saint Peter's","MAAC","Home","W","70-59",0.0582247422072565,"Quadrant 4"
"181",2023-11-06,"Sam Houston St.","CUSA","Pacific","WCC","Away","W","64-57",0.0550079982497802,"Quadrant 4"
"182",2023-11-06,"Pacific","WCC","Sam Houston St.","CUSA","Home","L","64-57",-0.919118647358332,"Quadrant 4"
"183",2023-11-06,"Samford","SC","Purdue","B10","Away","L","98-45",-0.081126791272177,"Quadrant 1"
"184",2023-11-06,"Purdue","B10","Samford","SC","Home","W","98-45",0.248860654516021,"Quadrant 2"
"185",2023-11-06,"Southeast Missouri St.","OVC","Grand Canyon","WAC","Away","L","88-67",-0.466375346102104,"Quadrant 1"
"186",2023-11-06,"Grand Canyon","WAC","Southeast Missouri St.","OVC","Home","W","88-67",0.00957643322371526,"Quadrant 4"
"187",2023-11-06,"Southern Indiana","OVC","Saint Louis","A10","Away","L","75-63",-0.762877228052471,"Quadrant 3"
"188",2023-11-06,"Saint Louis","A10","Southern Indiana","OVC","Home","W","75-63",0.0187635924529497,"Quadrant 4"
"189",2023-11-06,"Southern Utah","WAC","Cal St. Bakersfield","BW","Away","L","73-72",-0.861751120619913,"Quadrant 4"
"190",2023-11-06,"Cal St. Bakersfield","BW","Southern Utah","WAC","Home","W","73-72",0.047596883155914,"Quadrant 4"
"191",2023-11-06,"Southern","SWAC","TCU","B12","Away","L","108-75",-0.309500831142306,"Quadrant 1"
"192",2023-11-06,"TCU","B12","Southern","SWAC","Home","W","108-75",0.0653921911810837,"Quadrant 4"
"193",2023-11-06,"St. Francis PA","NEC","UCLA","P12","Away","L","75-44",-0.49768737385304,"Quadrant 2"
"194",2023-11-06,"UCLA","P12","St. Francis PA","NEC","Home","W","75-44",0.00883824685080548,"Quadrant 4"
"195",2023-11-06,"St. Thomas","Sum","California","P12","Away","L","71-66",-0.553354199318523,"Quadrant 2"
"196",2023-11-06,"California","P12","St. Thomas","Sum","Home","W","71-66",0.113840166037233,"Quadrant 3"
"197",2023-11-06,"Stonehill","NEC","George Washington","A10","Away","L","89-44",-0.795976036869028,"Quadrant 3"
"198",2023-11-06,"George Washington","A10","Stonehill","NEC","Home","W","89-44",0.00841042383945156,"Quadrant 4"
"199",2023-11-06,"Tarleton St.","WAC","Virginia","ACC","Away","L","80-50",-0.329916862810117,"Quadrant 1"
"200",2023-11-06,"Virginia","ACC","Tarleton St.","WAC","Home","W","80-50",0.0959437755973906,"Quadrant 3"
"201",2023-11-06,"Tennessee Tech","OVC","Tennessee","SEC","Away","L","80-42",-0.138794928612871,"Quadrant 1"
"202",2023-11-06,"Tennessee","SEC","Tennessee Tech","OVC","Home","W","80-42",0.0126938133570821,"Quadrant 4"
"203",2023-11-06,"Texas A&M Commerce","Slnd","Texas A&M","SEC","Away","L","78-46",-0.379098850295779,"Quadrant 1"
"204",2023-11-06,"Texas A&M","SEC","Texas A&M Commerce","Slnd","Home","W","78-46",0.0180499913845762,"Quadrant 4"
"205",2023-11-06,"Texas Southern","SWAC","New Mexico","MWC","Away","L","92-55",-0.263707025696225,"Quadrant 1"
"206",2023-11-06,"New Mexico","MWC","Texas Southern","SWAC","Home","W","92-55",0.0294640434698938,"Quadrant 4"
"207",2023-11-06,"Texas St.","SB","Little Rock","OVC","Away","L","71-66",-0.799318252153788,"Quadrant 3"
"208",2023-11-06,"Little Rock","OVC","Texas St.","SB","Home","W","71-66",0.0496726707379384,"Quadrant 4"
"209",2023-11-06,"The Citadel","SC","North Carolina St.","ACC","Away","L","72-59",-0.460531843374034,"Quadrant 2"
"210",2023-11-06,"North Carolina St.","ACC","The Citadel","SC","Home","W","72-59",0.0373681506318579,"Quadrant 4"
"211",2023-11-06,"Towson","CAA","Colorado","P12","Away","L","75-57",-0.32470039485949,"Quadrant 1"
"212",2023-11-06,"Colorado","P12","Towson","CAA","Home","W","75-57",0.107886448428105,"Quadrant 3"
"213",2023-11-06,"UMBC","AE","Louisville","ACC","Away","L","94-93",-0.76631693961648,"Quadrant 3"
"214",2023-11-06,"Louisville","ACC","UMBC","AE","Home","W","94-93",0.0347336504103207,"Quadrant 4"
"215",2023-11-06,"USC Upstate","BSth","South Carolina","SEC","Away","L","82-53",-0.367011665290596,"Quadrant 1"
"216",2023-11-06,"South Carolina","SEC","USC Upstate","BSth","Home","W","82-53",0.0384896675345705,"Quadrant 4"
"217",2023-11-06,"VMI","SC","Richmond","A10","Away","L","93-75",-0.45163661152953,"Quadrant 1"
"218",2023-11-06,"Richmond","A10","VMI","SC","Home","W","93-75",0.00880788857677683,"Quadrant 4"
"219",2023-11-06,"Wagner","NEC","Fordham","A10","Away","L","68-64",-0.7700341295591,"Quadrant 3"
"220",2023-11-06,"Fordham","A10","Wagner","NEC","Home","W","68-64",0.0290762969087895,"Quadrant 4"
"221",2023-11-06,"Western Illinois","OVC","UTSA","Amer","Away","L","78-68",-0.87302543932114,"Quadrant 4"
"222",2023-11-06,"UTSA","Amer","Western Illinois","OVC","Home","W","78-68",0.0575470286001843,"Quadrant 4"
"223",2023-11-06,"Winthrop","BSth","Clemson","ACC","Away","L","78-56",-0.302858664124139,"Quadrant 1"
"224",2023-11-06,"Clemson","ACC","Winthrop","BSth","Home","W","78-56",0.123446589545178,"Quadrant 3"
"225",2023-11-06,"Youngstown St.","Horz","Louisiana Lafayette","SB","Away","L","72-62",-0.584723222186764,"Quadrant 2"
"226",2023-11-06,"Louisiana Lafayette","SB","Youngstown St.","Horz","Home","W","72-62",0.124403071471177,"Quadrant 3"
"227",2023-11-07,"Albany","AE","Massachusetts","A10","Away","L","92-71",-0.537404093921164,"Quadrant 2"
"228",2023-11-07,"Massachusetts","A10","Albany","AE","Home","W","92-71",0.0427201775120586,"Quadrant 4"
"229",2023-11-07,"Auburn","SEC","Baylor","B12","Neutral","L","88-82",-0.348628202213506,"Quadrant 1"
"230",2023-11-07,"Baylor","B12","Auburn","SEC","Neutral","W","88-82",0.773747213568205,"Quadrant 1"
"231",2023-11-07,"Drexel","CAA","La Salle","A10","Away","L","67-61",-0.802605322550103,"Quadrant 3"
"232",2023-11-07,"La Salle","A10","Drexel","CAA","Home","W","67-61",0.138952255035458,"Quadrant 3"
"233",2023-11-07,"Florida A&M","SWAC","Creighton","BE","Away","L","105-54",-0.22387382926004,"Quadrant 1"
"234",2023-11-07,"Creighton","BE","Florida A&M","SWAC","Home","W","105-54",0.0111867967391729,"Quadrant 4"
